2020-05-28 18:29:47,943: Key.enter
2020-05-28 18:29:49,128: u'h'
2020-05-28 18:29:49,319: u'e'
2020-05-28 18:29:49,447: u'l'
2020-05-28 18:29:49,587: u'l'
2020-05-28 18:29:49,724: u'o'
2020-05-28 18:29:49,796: Key.space
2020-05-28 18:29:50,219: u'm'
2020-05-28 18:29:50,415: u'y'
2020-05-28 18:29:50,495: Key.space
2020-05-28 18:29:50,680: u'n'
2020-05-28 18:29:50,776: u'a'
2020-05-28 18:29:50,856: u'm'
2020-05-28 18:29:51,009: u'e'
2020-05-28 18:29:51,180: Key.space
2020-05-28 18:29:51,318: u'i'
2020-05-28 18:29:51,376: u'n'
2020-05-28 18:29:51,464: Key.space
2020-05-28 18:29:51,915: Key.backspace
2020-05-28 18:29:52,059: Key.backspace
2020-05-28 18:29:52,160: u's'
2020-05-28 18:29:52,191: Key.space
2020-05-28 18:29:52,309: u'n'
2020-05-28 18:29:52,397: u'a'
2020-05-28 18:29:52,499: u'c'
2020-05-28 18:29:52,623: u'h'
2020-05-28 18:29:52,751: u'i'
2020-05-28 18:29:53,152: u'k'
2020-05-28 18:29:53,240: u'e'
2020-05-28 18:29:53,349: u't'
2020-05-28 18:29:53,401: Key.space
2020-05-28 18:29:53,515: u'k'
2020-05-28 18:29:53,568: u'a'
2020-05-28 18:29:53,639: u'n'
2020-05-28 18:29:53,739: u'o'
2020-05-28 18:29:53,801: u'r'
2020-05-28 18:29:54,585: u'e'
2020-05-28 18:29:54,821: Key.enter
2020-05-28 18:29:55,351: u'a'
2020-05-28 18:29:55,485: u'k'
2020-05-28 18:29:55,497: u's'
2020-05-28 18:29:55,551: u'd'
2020-05-28 18:29:55,585: u'j'
2020-05-28 18:29:55,597: u'f'
2020-05-28 18:29:55,684: u'l'
2020-05-28 18:29:55,725: u'a'
2020-05-28 18:29:55,830: u's'
2020-05-28 18:29:55,842: u'd'
2020-05-28 18:29:55,911: u'f'
2020-05-28 18:29:55,924: Key.enter
2020-05-28 18:29:56,105: u'a'
2020-05-28 18:29:56,122: Key.enter
2020-05-28 18:29:56,141: u's'
2020-05-28 18:29:56,217: u'd'
2020-05-28 18:29:56,252: u'f'
2020-05-28 18:29:56,417: u'a'
2020-05-28 18:29:56,453: u'l'
2020-05-28 18:29:56,465: u'k'
2020-05-28 18:29:56,489: u's'
2020-05-28 18:29:56,559: u'd'
2020-05-28 18:29:56,624: u'f'
2020-05-28 18:29:56,892: u'a'
2020-05-28 18:29:56,943: u's'
2020-05-28 18:29:57,043: u'd'
2020-05-28 18:29:57,078: Key.enter
2020-05-28 18:29:57,245: u'f'
2020-05-28 18:29:57,257: u'a'
2020-05-28 18:29:57,326: u's'
2020-05-28 18:29:57,373: u'd'
2020-05-28 18:29:57,461: u'l'
2020-05-28 18:29:57,480: u'f'
2020-05-28 18:29:57,533: u'j'
2020-05-28 18:29:57,796: u'a'
2020-05-28 18:29:57,856: u'd'
2020-05-28 18:29:57,868: u's'
2020-05-28 18:29:57,919: u'f'
2020-05-28 18:29:58,532: Key.ctrl
2020-05-28 18:29:58,654: u's'
2020-05-28 18:30:00,080: Key.ctrl
2020-05-28 18:30:00,399: Key.ctrl
2020-05-28 18:30:01,028: u'c'
2020-05-28 18:30:02,671: Key.ctrl
2020-05-28 18:30:04,391: Key.esc
2020-05-28 18:30:05,701: Key.ctrl
2020-05-28 18:30:06,002: u'c'
2020-05-28 18:30:06,146: u'c'
2020-05-28 18:30:06,274: u'c'
2020-05-28 18:30:07,638: Key.enter
2020-05-28 18:30:07,788: Key.enter
2020-05-28 18:30:08,026: Key.enter
2020-05-28 18:30:08,169: Key.enter
2020-05-28 18:30:13,180: Key.ctrl
2020-05-28 18:30:13,280: u'x'
2020-05-28 18:30:13,776: Key.ctrl
2020-05-28 18:30:13,915: u'z'
